Height (in), Weight (lbs), Sex
68.02, 172.23, Male
72.1, 173.06, Male
62.51, 109.54, Female
62.26, 132.48, Female
66.05, 113.75, Female
66.14, 121.52, Female
65.36, 194.08, Male
64.38, 119.96, Female
68.74, 173.77, Male
68.11, 192.98, Male
64.2, 131.94, Female
61.72, 103.07, Female
65.74, 143.04, Male
65.7, 129.54, Female
65.64, 123.4, Female
66.65, 190.17, Female
70.78, 150.3, Male
70.46, 169.35, Male
63.93, 144.18, Female
72.98, 176.53, Male
66.86, 144.03, Female
69.61, 176.61, Male
67.17, 167.95, Male
65.51, 189.73, Female
65.06, 148.54, Female
63.26, 127.13, Female
69.4, 144.03, Male
70.76, 210.76, Male
68.7, 169.98, Male
61.71, 134.43, Female
65.43, 149.66, Male
63.88, 145.58, Male
63.15, 145.44, Female
72.36, 158.37, Male
64.67, 176.28, Female
61.86, 129.48, Female
68.37, 213.21, Male
62.7, 148.89, Female
70.62, 141.85, Male
65.64, 114.37, Female
67.75, 133.71, Female
67.47, 139.55, Female
67.46, 147.62, Male
57.62, 90.16, Female
59.4, 111.78, Female
66.76, 213.44, Female
63.81, 184.89, Female
66.04, 133.49, Female
61.15, 187.07, Female
64.61, 134.89, Female
65.03, 106.9, Female
66.14, 138.42, Female
61.8, 122.44, Female
63.12, 207.44, Female
61.36, 100.52, Female
60.32, 132.55, Female
63.08, 165.18, Female
69.25, 180.4, Male
62.42, 145.12, Female
65, 161.04, Male
63.29, 97.37, Female
67.77, 168.58, Male
65.33, 157.75, Male
61.09, 182.2, Female
64.62, 187.01, Female
66.46, 175.95, Male
72.65, 171.04, Male
70.41, 144.6, Male
67.06, 157.43, Male
67.91, 130.28, Male
68.53, 138.17, Male
64.76, 128.72, Female
71.79, 209, Male
63.46, 140.91, Female
66.34, 136.35, Female
66.95, 142.32, Male
64.09, 132.97, Female
63.29, 147.42, Female
62.62, 116.96, Female
68.14, 147.81, Male
65.88, 142.09, Male
63.42, 132.5, Female
67.23, 167.61, Male
62.68, 160.41, Female
65.49, 135.28, Male
59.34, 130.15, Female
65.32, 154.78, Female
62.91, 108.86, Female
70.59, 181.52, Male
65.27, 136.39, Female
58.42, 111.58, Female
62.7, 121.35, Female
64.75, 155.38, Female
63.09, 131.25, Female
61.48, 124.94, Female
63.93, 126.34, Female
63.81, 115.07, Female
70.52, 219.18, Male
55.13, 165.25, Female
68.59, 149.2, Male
61.77, 156.96, Female
70.17, 117.16, Male
69.18, 171.06, Male
65.56, 138.68, Female
69.46, 124.33, Male
68.84, 193.94, Male
64.64, 140.8, Female
65.5, 162.8, Male
63.25, 118.33, Female
63.08, 125.39, Female
67.72, 159.59, Male
62.9, 119.89, Female
71.19, 199.94, Male
64.75, 149.58, Female
59.7, 105.42, Female
61.07, 143.79, Female
65.02, 138.67, Female
66.23, 123.05, Female
63.92, 124.06, Female
66.69, 106.74, Female
64.66, 116.02, Female
61.07, 140.71, Female
62.78, 137.41, Female
68.67, 180.89, Male
65.95, 140.81, Female
74.12, 163.13, Male
71.96, 166.58, Male
62.23, 126.13, Female
74.11, 206.87, Male
71.18, 224.02, Male
66.95, 146.51, Female
71.26, 210.37, Male
65, 90.24, Female
75.31, 174.11, Male
66.3, 140.37, Female
68.84, 218.8, Male
71.85, 181.92, Male
63.05, 142.71, Female
62.88, 139.96, Female
59.2, 111.45, Female
71.84, 214.17, Male
60.8, 130.76, Female
63.6, 131.52, Female
66.78, 179.04, Male
62.52, 126.5, Female
63.17, 147.45, Female
66.82, 115.99, Female
64.07, 138.06, Female
77.12, 170.38, Male
69.72, 156.45, Male
63.3, 174.44, Female
68.28, 139.39, Male
63.07, 109.65, Female
69.02, 135.79, Male
65.79, 158.94, Male
70.74, 180.46, Male
65.02, 180.75, Male
73.14, 170.45, Male
64.38, 159.86, Female
68.18, 184.31, Male
72.02, 172.44, Male
64.78, 147.49, Female
68.09, 129.9, Male
71.53, 177.8, Male
70.67, 179.96, Male
66.23, 141.97, Male
65.74, 196.26, Male
63.03, 133.84, Female
64.27, 124.2, Female
63.66, 129.05, Female
62.8, 153.81, Female
62.9, 162.94, Female
66.91, 145.41, Female
69.71, 134.28, Male
65.59, 110.36, Male
64.32, 156.55, Female
66.66, 145.29, Female
70.48, 180.39, Male
65.96, 130.75, Female
65.63, 133.38, Female
66.13, 143.38, Male
63.55, 138.9, Female
66.42, 132.43, Female
64.56, 113.06, Female
64.75, 175.72, Female
66.01, 145.29, Female
65.43, 166.47, Male
70.21, 223.75, Male
68.71, 175.86, Female
65.56, 132.88, Female
62.76, 126.48, Female
73.08, 206.52, Male
58.69, 199.85, Male
70.39, 179.65, Male
65, 158.33, Male
70.45, 182.27, Male
66.21, 120.75, Male
63.09, 135.2, Female
61.4, 192.73, Female
69.42, 156.99, Male
66.26, 124.85, Male
63.07, 120.41, Female
66.7, 189.31, Male
65.06, 155.64, Male
63.23, 153.42, Female
65.12, 132.36, Female
66.98, 170.25, Female
61.82, 129.06, Female
68.59, 172.54, Male
60.15, 128.99, Female
61.27, 179.06, Female
61.15, 152.96, Male
68.9, 174, Male
72.84, 204.51, Male
67.53, 198.34, Male
70.51, 162.49, Male
72.84, 153.71, Male
65.56, 165.39, Male
66.8, 135.7, Male
65.45, 151.91, Male
67.13, 136.42, Male
66.8, 176.87, Male
64.91, 96.11, Female
66.78, 149.46, Male
65.93, 149.38, Female
62.59, 113.03, Female
63.83, 142.93, Female
63.58, 186.08, Male
68.71, 176.18, Female
63.43, 147.06, Female
68.99, 190.33, Male
61.1, 144.18, Female
60.63, 106.8, Female
63.22, 167.17, Female
69.07, 187.59, Male
65.83, 141.98, Female
73.16, 154.27, Male
58.56, 103.74, Female
61.54, 117.24, Female
61.22, 129.36, Female
68.64, 133.25, Female
63.11, 160.49, Female
63.39, 127.12, Female
66.05, 137.76, Female
64.83, 147.89, Female
70.37, 168.86, Male
64.55, 113.39, Female
72.14, 215, Male
66.66, 194.03, Female
64.31, 146.91, Male
77.97, 202.9, Male
71.68, 206.58, Male
70.49, 209.06, Male
66.43, 215.18, Male
66.45, 118.79, Female
62.22, 115.82, Female
68.2, 200.07, Female
66.18, 126.77, Male
63.91, 132.59, Female
66.36, 148.94, Female
65.91, 180.32, Male
66.49, 167.03, Male
68.94, 137.47, Female
67.2, 170.16, Female
67.07, 147.3, Male
57.05, 104.7, Female
66.8, 166.27, Male
62.95, 151.14, Female
62.25, 135.82, Female
67.5, 133.37, Female
67.51, 170.29, Male
67.9, 176.48, Male
64.32, 108.56, Female
67.17, 176.28, Male
71.86, 211, Male
64.62, 120.17, Female
62.8, 200.51, Female
60.05, 128.5, Female
71.28, 160.91, Male
63.97, 100.23, Female
69.9, 199.64, Male
70.54, 181.98, Male
62.34, 157.23, Female
64.17, 134.3, Female
61.93, 191.2, Female
62.03, 137.92, Female
74.93, 167.36, Male
70.67, 144.26, Male
64.27, 154.36, Female
69.93, 164.24, Female
68.64, 166.71, Female
68.05, 145.14, Male
61.46, 139.73, Female
69.34, 157.25, Male
68.62, 130.37, Male
63.61, 135.47, Female
62.23, 109.08, Female
69.35, 198.48, Male
66.58, 178.03, Female
61.67, 150.32, Female
70.15, 186.41, Male
62.63, 135.48, Female
61.55, 111.68, Female
62.54, 115.04, Female
69.58, 195.69, Male
73.77, 218.7, Male
62.22, 119.28, Female
70.32, 169.21, Male
59.63, 110.88, Female
72.22, 155.31, Male
65.49, 146.01, Male
67.26, 125.13, Male
63.98, 173.06, Male
64.48, 189.67, Female
62.87, 164.4, Female
74.9, 188.17, Male
63.61, 160.76, Female
59.53, 147.8, Female
64.28, 139.58, Female
62.12, 112.18, Female
60.5, 138.85, Female
65.41, 192.88, Male
60.49, 109.58, Female
68.07, 205.08, Male
65.32, 138.62, Female
68.33, 186.47, Male
63.72, 186.61, Female
65.18, 150.6, Female
66.55, 165.76, Male
65.24, 122.67, Female
63.79, 136.27, Female
62.6, 118.98, Female
63.15, 159.98, Female
71.72, 208.87, Male
74.07, 196.48, Male
63.41, 122.21, Female
64.84, 163.45, Female
70.18, 186.32, Male
66.09, 129.47, Male
65.04, 207.33, Male
72.95, 172.82, Male
65.15, 135.45, Female
71.22, 190.15, Male
63.95, 137.84, Female
66.64, 168.18, Female
59.54, 159.01, Female
62.38, 165.27, Female
64.82, 130.76, Female
63.16, 144.09, Male
65.64, 177.21, Male
68.78, 159.88, Male
55.27, 138.24, Female
63.9, 164.75, Female
70.28, 151.66, Male
68.51, 181.51, Male
70.12, 137.32, Male
62.15, 126.97, Female
66.28, 179.01, Male
66.65, 138.05, Male
65.38, 187.91, Male
61.33, 135.19, Female
60.01, 135.87, Female
61.7, 188.42, Female
70.85, 168.22, Male
68.22, 157.83, Male
66.88, 133.78, Female
69.58, 146.06, Male
69.67, 182.46, Male
64.96, 121.88, Female
64.64, 142.53, Female
64.43, 163.36, Male
63.43, 128.98, Female
64.29, 129.59, Male
63.06, 105.06, Female
70.57, 191.69, Male
62.46, 104.8, Female
69.26, 153.17, Male
65.11, 124.8, Female
59.86, 100.1, Female
71.15, 184.44, Male
63.99, 138.78, Female
75.03, 189.46, Male
63.47, 148.47, Female
66.2, 136.68, Male
71.42, 207.37, Male
67.18, 158.95, Female
62.06, 177.33, Female
71.43, 157.08, Male
70.81, 227.99, Male
66.23, 135.88, Female
71.27, 148.83, Male
69.56, 173.41, Male
63.61, 139.78, Female
66.79, 162.04, Male
66.73, 134.64, Male
69.51, 134.93, Male
66.63, 139.63, Female
63.15, 109.42, Female
61.66, 139.67, Female
63.58, 135.67, Female
66.91, 136.82, Male
67.35, 116.15, Female
64.14, 131.69, Female
68.98, 119.12, Female
64, 187.61, Female
64.51, 213.04, Female
63.1, 132.11, Female
71.65, 161.95, Male
70.53, 155.73, Male
69.55, 176.69, Male
65.21, 124.36, Female
63.49, 119.18, Female
66.37, 112.58, Female
69.7, 142.78, Male
70.9, 156.09, Male
62.45, 112.07, Female
71.82, 153.69, Male
65.55, 135.09, Female
67.2, 195.74, Male
77.7, 176.84, Male
70.96, 143.25, Male
65.36, 132.69, Female
64.13, 130.15, Female
68.21, 131.78, Female
61.11, 106.72, Female
70.32, 148.29, Male
63.06, 134.09, Female
61.68, 198.02, Female
61.91, 109.93, Female
70.06, 204.14, Male
63.41, 148.12, Female
72.46, 168.87, Male
64.1, 159.99, Female
64.23, 152.22, Male
59.81, 139.08, Female
69.29, 161.56, Female
69.77, 188.35, Male
65.7, 158.32, Female
72.46, 156.69, Male
64.41, 118.13, Female
64.01, 153.08, Female
65.15, 128.65, Female
64.4, 164.31, Female
65.08, 167.19, Male
66.74, 132.76, Female
65.6, 122.39, Female
72.12, 170.84, Male
67.35, 155.14, Male
62.71, 147.73, Female
67.48, 168.98, Male
72.08, 140.84, Male
62.66, 157.93, Female
68.59, 192.04, Male
61.28, 146.06, Female
67.24, 143.03, Male
61.23, 126.89, Female
69.19, 174.05, Male
67.77, 173.1, Male
71.58, 182.57, Male
67.37, 215.84, Male
68.72, 133.23, Female
64.48, 117.15, Female
63.1, 111.88, Female
69.85, 156.76, Male
66.6, 150.87, Male
61.61, 163.06, Female
67.4, 128.22, Female
65.65, 143.2, Female
63.1, 106.78, Female
69.64, 169.7, Male
65.58, 142.99, Female
68.87, 162.22, Male
60.81, 146.27, Female
64.94, 147.83, Female
68.42, 188.9, Male
69.7, 203.82, Male
70.92, 142.28, Male
61.37, 143.64, Female
65.21, 157.19, Female
72.35, 174.76, Male
61.08, 125.35, Female
72.06, 178.21, Male
71.89, 189.87, Male
64.09, 135.97, Female
65.62, 189.84, Female
65.67, 131.58, Female
68.63, 176.22, Male
68.43, 175.53, Male
69.94, 168.2, Male
74.74, 156.97, Male
71.04, 164.93, Male
64.27, 143.81, Female
62.03, 179.5, Female
60.5, 205.69, Female
61.24, 159.88, Female
68.29, 132.87, Male
66.26, 199.27, Female
69.05, 185.3, Male
63.83, 118.73, Female
59.74, 136.52, Female
60.59, 137.38, Female
70.87, 161.52, Male
69.89, 218.66, Male
67.27, 115.16, Female
64.56, 164.18, Female
65.63, 175.24, Female
69.53, 181.39, Male
65.17, 157.77, Male
62.56, 151.78, Female
67.73, 163.25, Male
67.91, 163.43, Male
65.14, 153.5, Male
65.49, 169.6, Female
65.67, 131.71, Male
72.52, 225.71, Male
69.37, 173.55, Male
67.49, 201.55, Male
66.28, 114.56, Female
68.41, 173.91, Male
66.63, 207.65, Male
67.28, 170.53, Male
66.69, 119.95, Female
57.16, 131.02, Female
67.28, 219.38, Male
64.86, 138.27, Female
63.27, 142.19, Female
63.51, 153.02, Male
70.53, 217.02, Male
65.41, 143.53, Female
63.03, 130.77, Female
69.12, 198.3, Male
69.6, 176.86, Male
65.81, 177.86, Female
60.58, 124.35, Female
69.76, 167.85, Male
67.26, 162.29, Male
69.38, 142.48, Male
63.42, 118.72, Female
68.53, 162.54, Male
64.64, 142.48, Female
63.84, 95.06, Female
62.39, 126.49, Female
66.92, 134.46, Female
69.52, 166.13, Male
65.24, 142.51, Female
65.75, 147.19, Female
65.1, 217.49, Female
71.76, 141.95, Male
65.32, 141.62, Male
68.29, 159.59, Female
69.43, 144.38, Male
70.1, 130.52, Male
64.03, 131.46, Female
63.43, 146.22, Female
65.45, 112.11, Female
58.05, 95.22, Female
68.63, 145.83, Male
63.16, 140.25, Female
63.25, 150.26, Female
71.95, 166.62, Male
66.77, 150.54, Male
68.23, 132.61, Male
65.48, 163.99, Male
61.65, 115.94, Female
65.83, 158.31, Male
69.97, 182.44, Male
68.51, 174.77, Male
62.97, 125.08, Female
66.05, 131.98, Male
69.37, 221.92, Male
68.86, 149.98, Male
64.6, 133.7, Female
69.01, 175.15, Male
67.65, 140.54, Male
68.5, 153.7, Male
71.43, 161.35, Male
69.26, 151.69, Female
68.97, 171.96, Male
70.26, 135.97, Male
71.76, 197.87, Male
70.91, 149.75, Male
61.79, 131.63, Female
61.53, 181.25, Female
71.13, 192.07, Male
67.27, 188.12, Female
63.13, 128.59, Female
58.38, 127.42, Male
69.6, 152.16, Male
68.95, 135.74, Male
67.04, 118.54, Male
63.66, 123.23, Male
67.08, 197.7, Female
65.51, 174.32, Female
63.52, 151.44, Female
63.08, 166.76, Female
61.75, 129.88, Female
65.4, 129.46, Female
72.64, 205.91, Male
67.2, 135.62, Male
68.78, 178.02, Male
66.29, 180.22, Male
62.92, 197.58, Female
65.89, 121.81, Female
60.24, 104.02, Female
67.26, 184.15, Male
65.87, 187.79, Female
70.76, 166.88, Male
61.13, 138.87, Female
67.87, 181.2, Male
71.9, 210.02, Male
71.44, 225.12, Male
64.26, 145.08, Male
62.99, 131.41, Female
61.68, 151.26, Female
69.92, 176.44, Male
58.47, 128.29, Female
63.6, 174.58, Female
63.59, 107.33, Female
69.27, 174.54, Male
65.47, 142.79, Female
62.69, 117.53, Female
67.04, 144.69, Female
70.86, 162.8, Male
64.84, 131.82, Female
67.35, 147.46, Female
64.69, 193.89, Female
62.48, 130.29, Female
71.46, 185.39, Male
67.89, 129.78, Male
71.5, 218.81, Male
69.53, 135.11, Male
66.59, 141.69, Male
62.75, 99.79, Female
66.77, 167.99, Male
69.15, 174.63, Male
58.35, 119.62, Male
71.98, 162.43, Male
68.28, 142.89, Male
66.59, 155.63, Male
68.95, 148.65, Male
68.78, 193.23, Male
70.95, 173.45, Male
69.87, 136.57, Male
68.5, 162.93, Male
68.5, 169.56, Male
67.68, 179.44, Male
68.07, 142.3, Male
66.77, 131.98, Female
62.51, 187.72, Female
64.62, 143.53, Male
71.06, 151.74, Male
64.93, 124.17, Female
65.62, 147.1, Female
68.89, 120.31, Male
63.47, 172.64, Female
61.76, 90.53, Female
73, 171.37, Male
62.84, 114.47, Female
68.35, 212.26, Male
69.42, 150.2, Male
67.77, 127.77, Male
69.59, 152.07, Male
63.19, 205.28, Female
63.74, 153.96, Female
60.85, 149.94, Female
70.94, 149.55, Male
68.98, 170.02, Male
70.06, 134.97, Male
61.97, 115.25, Female
60.8, 108.81, Female
57.54, 143, Female
63.15, 141.05, Female
65.94, 156.16, Female
61.32, 151.28, Female
66.03, 148.58, Female
63.16, 158.46, Female
75.73, 173.25, Male
59.11, 138.21, Female
61.31, 146.92, Female
59.24, 131.71, Female
68.79, 193.19, Male
65.17, 159.6, Female
74, 180.96, Male
68.14, 161.6, Male
58.21, 137.28, Female
63.95, 134.36, Female
65.53, 152.47, Female
62.19, 160.45, Female
70.06, 161.67, Male
63.59, 114.75, Female
67.04, 162.98, Male
69.55, 131.92, Male
62.14, 147.59, Female
70.45, 179.96, Male
70.66, 157.54, Male
68.39, 177.12, Male
64.4, 179.29, Female
60.81, 139.3, Female
65.82, 168.09, Female
73.82, 168.1, Male
62.12, 163.74, Female
57.94, 134.66, Female
61.67, 153.23, Female
64.44, 115.01, Male
71.87, 143.82, Male
65.99, 143.13, Male
66.63, 134.65, Male
66.59, 137.36, Female
68.36, 173.12, Male
75.33, 204.88, Male
65.23, 123.09, Female
67.17, 141.17, Male
65.07, 118.49, Female
67.56, 165.52, Male
73.43, 183.86, Male
65.78, 156.83, Male
71.98, 151.69, Male
65.63, 188.32, Male
68.82, 150.52, Male
60.62, 124.19, Female
63.12, 177.85, Female
66.59, 183.12, Female
74.77, 198.32, Male
65.96, 144.39, Male
64.94, 146.3, Female
70.49, 191.69, Male
67.63, 180.23, Male
73.3, 153.41, Male
60.88, 158.8, Female
64.53, 150.85, Female
66.61, 128.36, Female
64.17, 119.03, Female
62.64, 165.76, Female
65.96, 152.92, Female
67.48, 122.78, Female
66.82, 161.84, Male
69.63, 144.92, Male
64.41, 154.98, Male
66.05, 194.96, Female
64.88, 142.88, Male
63.96, 141.17, Female
64.2, 116.11, Female
70.24, 166.58, Male
68.13, 208.58, Male
70.5, 152.07, Male
68.86, 203.22, Male
64.67, 193.81, Female
69.65, 181.54, Male
64.25, 149.33, Female
69.7, 152.96, Male
65.69, 206.53, Male
61.63, 158.14, Male
57.12, 112.12, Male
66.86, 117.94, Male
68.76, 145.74, Female
66.88, 149.21, Male
63.01, 132.97, Female
63.24, 176.92, Female
66.6, 149.16, Female
68.98, 177.03, Male
68.45, 183.45, Male
67.93, 182.46, Female
70.06, 176.79, Male
68.64, 193.29, Male
64.66, 148.85, Male
58.94, 130.79, Female
67.1, 183.45, Male
67.56, 128.09, Male
68.86, 192.18, Male
62.15, 110.92, Female
67.97, 178.31, Female
69.69, 183.99, Male
58.16, 151.5, Female
64.35, 163.54, Female
66.71, 170.17, Male
64.92, 135.42, Female
74.17, 197.7, Male
63.91, 97.3, Female
63.54, 140.47, Female
70.18, 219.54, Male
72.61, 200.65, Male
68.15, 180.15, Male
63.71, 194.53, Male
75.32, 215.38, Male
69.82, 197.99, Male
73.77, 172.28, Male
62.69, 117.65, Female
68.61, 153.64, Male
67.21, 117.67, Female
65.14, 152.71, Female
63.43, 212.18, Female
68.48, 121, Female
65.97, 202.5, Female
75.27, 218.68, Male
62.98, 130.81, Female
73.85, 193.12, Male
65.02, 186.17, Female
67.13, 198.34, Male
66.22, 176.42, Male
65.01, 134.48, Female
60.49, 150.52, Female
61.34, 121.73, Female
63.79, 207.07, Female
71.98, 165.47, Male
62.48, 135.06, Female
71.34, 197.81, Male
70.65, 163.98, Male
65.1, 149.86, Female
65.91, 135.58, Male
67.86, 145.2, Female
73.79, 229.33, Male
64.91, 188.03, Female
69.93, 178.17, Male
64.89, 127.59, Female
67.85, 200.31, Female
67.14, 136.03, Male
70.96, 215.25, Male
69.74, 153.78, Male
64.63, 155.31, Male
58.51, 113.56, Female
65.76, 142.29, Female
68.1, 130.74, Female
63.2, 112.94, Female
71.94, 183.43, Male
62.64, 99.05, Female
70.37, 131.12, Male
72.07, 158.69, Male
68.63, 122.74, Male
63.89, 112.68, Female
66.37, 148.94, Female
71.33, 149.46, Male
65.99, 151.3, Female
61.95, 171.78, Female
68.63, 150.12, Female
64.84, 110.05, Male
72.89, 164.45, Male
66.46, 122.26, Male
67.57, 129.95, Female
64.17, 131.56, Female
68.96, 162.63, Male
66.66, 154.42, Female
66.01, 144.21, Female
67.44, 202.22, Male
69.27, 173.14, Male
69.55, 171.3, Male
65.69, 148.34, Female
65.31, 126.81, Female
73.77, 204.89, Male
61.65, 132.16, Female
56.12, 114.89, Female
68.84, 165.96, Male
63.63, 168.04, Female
65.24, 130.88, Female
70.87, 186.57, Male
73.53, 204.72, Male
65.19, 176.86, Female
63.45, 103.92, Female
59.03, 92.28, Female
67.12, 133, Male
68.08, 137.74, Male
68.35, 168.15, Male
70.37, 160.36, Male
63.16, 135.81, Male
61.38, 151.74, Female
67.91, 131.58, Male
67.41, 130.61, Female
66.74, 165.44, Male
69.16, 168.98, Male
60.47, 124.2, Female
66.6, 177.24, Male
60.97, 185.52, Female
71.97, 162.9, Male
62.64, 123.87, Female
62.96, 129.48, Female
69.38, 187.01, Male
64, 142.96, Male
68.3, 157.28, Male
61.4, 123.68, Female
64.38, 127.22, Female
71.34, 193.42, Male
67.05, 125.15, Female
74, 168.62, Male
66.27, 114.55, Female
63.93, 157.15, Male
63.3, 118.8, Female
61.2, 164.68, Female
63.93, 119.7, Female
69.14, 177.37, Male
63.8, 109.68, Female
62.47, 152, Female
62.64, 131.11, Female
70.77, 181.03, Male
60.64, 187.89, Female
62.4, 136.22, Female
66.16, 168.58, Male
65.3, 133.75, Female
70.03, 165.47, Male
69.08, 174.65, Male
63.32, 129.68, Female
62.58, 108.88, Female
63.35, 95.07, Female
60.44, 144.87, Female
62.78, 128.37, Female
69.42, 169.18, Male
63.46, 140.98, Female
64.89, 141.53, Female
58.27, 102.68, Female
69.44, 142.45, Male
66.05, 140.67, Female
64.3, 195.8, Female
66.15, 143.83, Male
63.82, 153.14, Female
67.29, 146.07, Male
62.89, 158.39, Female
63.3, 106.35, Female
61.89, 123.94, Female
70.92, 162.77, Male
63.88, 119.77, Female
68.92, 129.11, Male
68, 199.85, Male
69.85, 177.8, Male
62.85, 170.83, Female
62.97, 130.34, Female
65.62, 117.02, Female
66.5, 127.85, Male
65.14, 207.54, Female
71.07, 200.9, Male
65.18, 158.94, Male
71.63, 194.75, Male
70.55, 150.83, Male
68.54, 171.13, Male
67.88, 135.43, Female
65.46, 140.57, Female
69.25, 163.51, Male
66.93, 123.12, Male
69.26, 154.17, Male
61.09, 128.43, Female
63.62, 168.2, Female
61.87, 134.29, Female
63.79, 200.86, Female
69.83, 171.95, Male
59.27, 165.05, Female
71.05, 204.62, Male
74.66, 211.62, Male
64.41, 100.01, Female
72.79, 202.39, Male
70.87, 149.38, Male
66.49, 146.89, Female
65.56, 165.65, Male
73.89, 155.05, Male
65.96, 124.91, Female
61.55, 118.91, Female
67.48, 180.89, Male
62.45, 128.78, Female
70.37, 130.7, Male
62.89, 158.96, Female
59.96, 128.2, Female
63.36, 159.44, Male
65.42, 188.56, Female
73.6, 184.28, Male
64.23, 160.55, Female
61.13, 106.93, Female
66.26, 153.52, Female
64.8, 157.28, Male
68.35, 161.44, Male
65.22, 134.65, Female
65, 195.84, Female
72.11, 193.9, Male
62.61, 128.47, Female
63.93, 137.66, Female
70.85, 162.11, Male
64.4, 126.56, Female
71.03, 149.79, Male
63.37, 138.27, Female
64.34, 176.41, Male
67.13, 178.48, Male
69.33, 196.1, Male
66.49, 113.15, Female
70.29, 140.43, Male
62.65, 109.53, Female
69.04, 181.42, Male
71.82, 209.86, Male
67.31, 177.55, Male
70.92, 160.85, Male
63.14, 113.11, Female
59.87, 112.02, Female
63.93, 119.46, Female
68.4, 132.53, Female
61.85, 156.54, Female
72.9, 215.18, Male
77.09, 177.73, Male
75.57, 207.2, Male
64.73, 148.75, Female
67.55, 123.86, Female
67.54, 181.73, Female
55.53, 108.76, Female
68.33, 137.99, Male
71.54, 153.47, Male
64.78, 168.87, Female
74.8, 193.43, Male
64.9, 110.2, Female
69.62, 223.64, Male
66.38, 129.11, Female
67.76, 178.89, Female
63.4, 152.63, Male
71.71, 186.38, Male
63.68, 141.09, Female
74.03, 177.43, Male
60.38, 134.16, Female
65.6, 180.35, Female
59.4, 152.33, Female
71.69, 144.28, Male
65.65, 131.25, Female
69.01, 160.49, Male
62.8, 148.07, Female
62.94, 113.67, Female
63.75, 189.94, Female
68.75, 192.45, Male
66.11, 125.62, Female
67.49, 130.4, Female
66.16, 184.66, Female
66.21, 121.35, Female
65.77, 133.73, Male
62.25, 160.37, Female
67.8, 166.43, Male
63.55, 144.65, Male
64.61, 122.76, Female
62.61, 120.05, Female
69.23, 190.19, Female
66.46, 133.95, Female
64.22, 122.55, Female
61.32, 168.83, Female
69.23, 169.4, Male
73.27, 156.19, Male
69.07, 139.75, Male
69.98, 142.58, Male
68.8, 134.91, Male
66.08, 167.07, Female
65.94, 146.84, Female
64.22, 165.26, Female
70.99, 175.74, Male
65.78, 131.37, Female
60.44, 195.6, Female
61.53, 161.51, Female
61.5, 95.25, Female
